type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,256,100,100,198,1
MutexBased,256,100,100,174,0
MutexBased,512,100,100,167,1
MutexBased,512,100,100,203,0
MutexBased,1024,100,100,172,1
MutexBased,1024,100,100,163,0
MutexBased,2048,100,100,97,1
MutexBased,2048,100,100,168,0
MutexBased,4096,100,100,245,1
MutexBased,4096,100,100,232,0
MutexBased,8192,100,100,177,1
MutexBased,8192,100,100,201,0
MutexBased,256,200,200,250,1
MutexBased,256,200,200,97,0
MutexBased,512,200,200,135,1
MutexBased,512,200,200,191,0
MutexBased,1024,200,200,200,1
MutexBased,1024,200,200,286,0
MutexBased,2048,200,200,167,1
MutexBased,2048,200,200,220,0
MutexBased,4096,200,200,111,1
MutexBased,4096,200,200,360,0
MutexBased,8192,200,200,194,1
MutexBased,8192,200,200,294,0
MutexBased,256,300,300,213,1
MutexBased,256,300,300,203,0
MutexBased,512,300,300,279,1
MutexBased,512,300,300,296,0
MutexBased,1024,300,300,227,1
MutexBased,1024,300,300,145,0
MutexBased,2048,300,300,157,1
MutexBased,2048,300,300,173,0
MutexBased,4096,300,300,162,1
MutexBased,4096,300,300,241,0
MutexBased,8192,300,300,127,1
MutexBased,8192,300,300,125,0
MutexBased,256,400,400,136,1
MutexBased,256,400,400,252,0
MutexBased,512,400,400,124,1
MutexBased,512,400,400,177,0
MutexBased,1024,400,400,129,1
MutexBased,1024,400,400,340,0
MutexBased,2048,400,400,327,1
MutexBased,2048,400,400,104,0
MutexBased,4096,400,400,219,1
MutexBased,4096,400,400,215,0
MutexBased,8192,400,400,219,1
MutexBased,8192,400,400,144,0
MutexBased,256,500,500,242,1
MutexBased,256,500,500,332,0
MutexBased,512,500,500,288,1
MutexBased,512,500,500,201,0
MutexBased,1024,500,500,274,1
MutexBased,1024,500,500,331,0
MutexBased,2048,500,500,253,1
MutexBased,2048,500,500,198,0
MutexBased,4096,500,500,142,1
MutexBased,4096,500,500,125,0
MutexBased,8192,500,500,205,1
MutexBased,8192,500,500,240,0
MutexBased,256,1000,1000,465,1
MutexBased,256,1000,1000,325,0
MutexBased,512,1000,1000,219,1
MutexBased,512,1000,595,215,0
MutexBased,1024,1000,1000,317,1
MutexBased,1024,1000,1000,378,0
MutexBased,2048,1000,1000,175,1
MutexBased,2048,1000,1000,356,0
MutexBased,4096,1000,1000,251,1
MutexBased,4096,1000,1000,381,0
MutexBased,8192,1000,1000,428,1
MutexBased,8192,1000,1000,324,0
MutexBased,256,1500,1500,400,1
MutexBased,256,1500,1500,521,0
MutexBased,512,1500,1500,580,1
MutexBased,512,1500,1163,252,0
MutexBased,1024,1500,1500,548,1
MutexBased,1024,1500,1500,491,0
MutexBased,2048,1500,1500,321,1
MutexBased,2048,1500,1500,558,0
MutexBased,4096,1500,1500,502,1
MutexBased,4096,1500,1500,514,0
MutexBased,8192,1500,1500,379,1
MutexBased,8192,1500,1500,374,0
MutexBased,256,2000,2000,649,1
MutexBased,256,2000,2000,638,0
MutexBased,512,2000,2000,677,1
MutexBased,512,2000,1394,290,0
MutexBased,1024,2000,2000,659,1
MutexBased,1024,2000,1442,264,0
MutexBased,2048,2000,2000,302,1
MutexBased,2048,2000,2000,626,0
MutexBased,4096,2000,2000,326,1
