type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,100,1000,1000,440,1
MutexBased,100,1000,279,194,0
MutexBased,200,1000,1000,253,1
MutexBased,200,1000,897,321,0
MutexBased,300,1000,1000,361,1
MutexBased,300,1000,1000,444,0
MutexBased,400,1000,1000,452,1
MutexBased,400,1000,1000,297,0
MutexBased,500,1000,1000,351,1
MutexBased,500,1000,1000,201,0
MutexBased,600,1000,1000,161,1
MutexBased,600,1000,985,148,0
MutexBased,700,1000,1000,727,1
MutexBased,700,1000,1000,308,0
MutexBased,800,1000,1000,362,1
MutexBased,800,1000,1000,125,0
MutexBased,900,1000,1000,325,1
MutexBased,900,1000,1000,407,0
MutexBased,1000,1000,1000,248,1
MutexBased,1000,1000,1000,242,0
MutexBased,1100,1000,1000,365,1
MutexBased,1100,1000,1000,340,0
MutexBased,1200,1000,1000,258,1
MutexBased,1200,1000,1000,350,0
MutexBased,1300,1000,1000,295,1
MutexBased,1300,1000,1000,402,0
MutexBased,1400,1000,1000,283,1
MutexBased,1400,1000,1000,177,0
MutexBased,1500,1000,1000,518,1
MutexBased,1500,1000,1000,364,0
MutexBased,1600,1000,1000,218,1
MutexBased,1600,1000,1000,390,0
MutexBased,1700,1000,1000,395,1
MutexBased,1700,1000,1000,190,0
MutexBased,1800,1000,1000,338,1
MutexBased,1800,1000,1000,274,0
MutexBased,1900,1000,1000,218,1
MutexBased,1900,1000,1000,412,0
MutexBased,2000,1000,1000,205,1
MutexBased,2000,1000,1000,396,0
MutexBased,100,2000,2000,637,1
MutexBased,100,2000,1026,395,0
MutexBased,200,2000,2000,575,1
MutexBased,200,2000,1697,566,0
MutexBased,300,2000,2000,417,1
MutexBased,300,2000,2000,665,0
MutexBased,400,2000,2000,433,1
MutexBased,400,2000,504,132,0
MutexBased,500,2000,2000,396,1
MutexBased,500,2000,1414,311,0
MutexBased,600,2000,2000,367,1
MutexBased,600,2000,599,140,0
MutexBased,700,2000,2000,451,1
MutexBased,700,2000,2000,482,0
MutexBased,800,2000,2000,524,1
MutexBased,800,2000,2000,380,0
MutexBased,900,2000,2000,425,1
MutexBased,900,2000,1838,365,0
MutexBased,1000,2000,2000,322,1
MutexBased,1000,2000,2000,610,0
MutexBased,1100,2000,2000,350,1
MutexBased,1100,2000,2000,668,0
MutexBased,1200,2000,2000,569,1
MutexBased,1200,2000,1778,379,0
MutexBased,1300,2000,2000,617,1
MutexBased,1300,2000,2000,439,0
MutexBased,1400,2000,2000,407,1
MutexBased,1400,2000,2000,472,0
MutexBased,1500,2000,2000,299,1
MutexBased,1500,2000,2000,433,0
MutexBased,1600,2000,2000,368,1
MutexBased,1600,2000,2000,269,0
MutexBased,1700,2000,2000,503,1
MutexBased,1700,2000,2000,363,0
MutexBased,1800,2000,2000,680,1
MutexBased,1800,2000,2000,655,0
MutexBased,1900,2000,2000,311,1
MutexBased,1900,2000,2000,679,0
MutexBased,2000,2000,2000,375,1
MutexBased,2000,2000,2000,652,0
MutexBased,100,3000,3000,656,1
MutexBased,100,3000,1932,498,0
MutexBased,200,3000,3000,557,1
MutexBased,200,3000,2799,686,0
MutexBased,300,3000,3000,533,1
MutexBased,300,3000,2866,668,0
MutexBased,400,3000,3000,737,1
MutexBased,400,3000,1635,366,0
MutexBased,500,3000,3000,822,1
MutexBased,500,3000,1877,473,0
MutexBased,600,3000,3000,756,1
MutexBased,600,3000,3000,1337,0
MutexBased,700,3000,3000,759,1
MutexBased,700,3000,2522,833,0
MutexBased,800,3000,3000,516,1
MutexBased,800,3000,3000,770,0
MutexBased,900,3000,3000,572,1
MutexBased,900,3000,3000,526,0
MutexBased,1000,3000,3000,832,1
MutexBased,1000,3000,2008,383,0
MutexBased,1100,3000,3000,654,1
MutexBased,1100,3000,1597,244,0
MutexBased,1200,3000,3000,765,1
MutexBased,1200,3000,3000,575,0
MutexBased,1300,3000,3000,489,1
MutexBased,1300,3000,3000,596,0
MutexBased,1400,3000,3000,446,1
MutexBased,1400,3000,3000,576,0
MutexBased,1500,3000,3000,690,1
MutexBased,1500,3000,3000,826,0
MutexBased,1600,3000,3000,544,1
MutexBased,1600,3000,3000,809,0
MutexBased,1700,3000,3000,366,1
MutexBased,1700,3000,2185,466,0
MutexBased,1800,3000,3000,581,1
MutexBased,1800,3000,2277,399,0
MutexBased,1900,3000,3000,638,1
MutexBased,1900,3000,3000,1194,0
MutexBased,2000,3000,3000,648,1
MutexBased,2000,3000,3000,627,0
MutexBased,100,4000,4000,897,1
MutexBased,100,4000,1300,348,0
MutexBased,200,4000,4000,853,1
MutexBased,200,4000,3946,684,0
MutexBased,300,4000,4000,1050,1
MutexBased,300,4000,1947,500,0
MutexBased,400,4000,4000,838,1
MutexBased,400,4000,2484,591,0
MutexBased,500,4000,4000,1163,1
MutexBased,500,4000,4000,1126,0
MutexBased,600,4000,4000,940,1
MutexBased,600,4000,3055,538,0
MutexBased,700,4000,4000,1181,1
MutexBased,700,4000,3355,730,0
MutexBased,800,4000,4000,646,1
MutexBased,800,4000,3461,592,0
MutexBased,900,4000,4000,796,1
MutexBased,900,4000,4000,1141,0
MutexBased,1000,4000,4000,845,1
MutexBased,1000,4000,4000,1137,0
MutexBased,1100,4000,4000,731,1
MutexBased,1100,4000,4000,723,0
MutexBased,1200,4000,4000,568,1
MutexBased,1200,4000,1199,193,0
MutexBased,1300,4000,4000,967,1
MutexBased,1300,4000,4000,672,0
MutexBased,1400,4000,4000,766,1
MutexBased,1400,4000,4000,629,0
MutexBased,1500,4000,4000,695,1
MutexBased,1500,4000,4000,2091,0
MutexBased,1600,4000,4000,1227,1
