type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,256,100,100,142,1
MutexBased,256,100,100,318,0
MutexBased,512,100,100,162,1
MutexBased,512,100,100,350,0
MutexBased,1024,100,100,263,1
MutexBased,1024,100,100,142,0
MutexBased,2048,100,100,206,1
MutexBased,2048,100,100,963,0
MutexBased,4096,100,100,225,1
MutexBased,4096,100,100,221,0
MutexBased,8192,100,100,241,1
MutexBased,8192,100,100,190,0
MutexBased,256,200,200,232,1
MutexBased,256,200,200,177,0
MutexBased,512,200,200,168,1
MutexBased,512,200,200,162,0
MutexBased,1024,200,200,287,1
MutexBased,1024,200,200,262,0
MutexBased,2048,200,200,136,1
MutexBased,2048,200,200,144,0
MutexBased,4096,200,200,240,1
MutexBased,4096,200,200,193,0
MutexBased,8192,200,200,276,1
MutexBased,8192,200,200,186,0
MutexBased,256,300,300,381,1
MutexBased,256,300,255,115,0
MutexBased,512,300,300,136,1
MutexBased,512,300,300,182,0
MutexBased,1024,300,300,211,1
MutexBased,1024,300,300,252,0
MutexBased,2048,300,300,184,1
MutexBased,2048,300,300,122,0
MutexBased,4096,300,300,125,1
MutexBased,4096,300,300,378,0
MutexBased,8192,300,300,343,1
MutexBased,8192,300,300,168,0
MutexBased,256,400,400,239,1
MutexBased,256,400,400,245,0
MutexBased,512,400,400,299,1
MutexBased,512,400,400,140,0
MutexBased,1024,400,400,169,1
MutexBased,1024,400,400,231,0
MutexBased,2048,400,400,179,1
MutexBased,2048,400,400,145,0
MutexBased,4096,400,400,330,1
MutexBased,4096,400,400,197,0
MutexBased,8192,400,400,502,1
MutexBased,8192,400,400,458,0
MutexBased,256,500,500,329,1
MutexBased,256,500,500,309,0
MutexBased,512,500,500,132,1
MutexBased,512,500,500,128,0
MutexBased,1024,500,500,331,1
MutexBased,1024,500,500,205,0
MutexBased,2048,500,500,252,1
MutexBased,2048,500,500,348,0
MutexBased,4096,500,500,287,1
MutexBased,4096,500,500,120,0
MutexBased,8192,500,500,132,1
MutexBased,8192,500,500,231,0
MutexBased,256,1000,1000,400,1
MutexBased,256,1000,255,123,0
MutexBased,512,1000,1000,248,1
MutexBased,512,1000,1000,327,0
MutexBased,1024,1000,1000,322,1
MutexBased,1024,1000,1000,192,0
MutexBased,2048,1000,1000,186,1
MutexBased,2048,1000,1000,360,0
MutexBased,4096,1000,1000,548,1
MutexBased,4096,1000,1000,554,0
MutexBased,8192,1000,1000,406,1
MutexBased,8192,1000,1000,190,0
MutexBased,256,1500,1500,387,1
MutexBased,256,1500,1496,309,0
MutexBased,512,1500,1500,441,1
MutexBased,512,1500,642,269,0
MutexBased,1024,1500,1500,420,1
MutexBased,1024,1500,1402,340,0
MutexBased,2048,1500,1500,472,1
MutexBased,2048,1500,1500,503,0
MutexBased,4096,1500,1500,210,1
MutexBased,4096,1500,1500,483,0
MutexBased,8192,1500,1500,636,1
MutexBased,8192,1500,1500,391,0
MutexBased,256,2000,2000,548,1
MutexBased,256,2000,2000,448,0
MutexBased,512,2000,2000,586,1
MutexBased,512,2000,2000,883,0
MutexBased,1024,2000,2000,298,1
MutexBased,1024,2000,1337,281,0
MutexBased,2048,2000,2000,653,1
MutexBased,2048,2000,2000,365,0
MutexBased,4096,2000,2000,157,1
MutexBased,4096,2000,2000,205,0
MutexBased,8192,2000,2000,166,1
MutexBased,8192,2000,2000,435,0
MutexBased,256,2500,2500,688,1
MutexBased,256,2500,2500,711,0
MutexBased,512,2500,2500,1158,1
MutexBased,512,2500,2500,968,0
MutexBased,1024,2500,2500,748,1
MutexBased,1024,2500,1566,405,0
MutexBased,2048,2500,2500,568,1
MutexBased,2048,2500,2500,526,0
MutexBased,4096,2500,2500,260,1
MutexBased,4096,2500,2500,953,0
MutexBased,8192,2500,2500,630,1
MutexBased,8192,2500,2500,533,0
MutexBased,256,3000,3000,709,1
MutexBased,256,3000,619,153,0
MutexBased,512,3000,3000,671,1
MutexBased,512,3000,666,407,0
MutexBased,1024,3000,3000,723,1
MutexBased,1024,3000,3000,936,0
MutexBased,2048,3000,3000,542,1
MutexBased,2048,3000,2047,207,0
MutexBased,4096,3000,3000,798,1
MutexBased,4096,3000,3000,684,0
MutexBased,8192,3000,3000,573,1
MutexBased,8192,3000,3000,479,0
MutexBased,256,3500,3500,831,1
MutexBased,256,3500,2876,818,0
MutexBased,512,3500,3500,727,1
MutexBased,512,3500,3492,920,0
MutexBased,1024,3500,3500,762,1
MutexBased,1024,3500,3436,985,0
MutexBased,2048,3500,3500,627,1
MutexBased,2048,3500,3500,579,0
MutexBased,4096,3500,3500,633,1
MutexBased,4096,3500,3500,830,0
MutexBased,8192,3500,3500,243,1
MutexBased,8192,3500,3500,312,0
MutexBased,256,4000,4000,918,1
MutexBased,256,4000,2864,522,0
MutexBased,512,4000,4000,809,1
MutexBased,512,4000,2231,798,0
MutexBased,1024,4000,4000,753,1
MutexBased,1024,4000,1023,277,0
MutexBased,2048,4000,4000,708,1
MutexBased,2048,4000,4000,611,0
MutexBased,4096,4000,4000,882,1
MutexBased,4096,4000,4000,1000,0
MutexBased,8192,4000,4000,761,1
MutexBased,8192,4000,4000,619,0
MutexBased,256,4500,4500,886,1
MutexBased,256,4500,4013,986,0
MutexBased,512,4500,4500,1183,1
MutexBased,512,4500,2736,791,0
MutexBased,1024,4500,4500,956,1
MutexBased,1024,4500,2304,459,0
MutexBased,2048,4500,4500,695,1
MutexBased,2048,4500,4500,1067,0
MutexBased,4096,4500,4500,711,1
MutexBased,4096,4500,4500,1003,0
MutexBased,8192,4500,4500,1338,1
MutexBased,8192,4500,4500,1163,0
MutexBased,256,5000,5000,1496,1
MutexBased,256,5000,2264,646,0
MutexBased,512,5000,5000,1186,1
MutexBased,512,5000,2140,702,0
MutexBased,1024,5000,5000,1833,1
MutexBased,1024,5000,4603,1420,0
MutexBased,2048,5000,5000,1194,1
MutexBased,2048,5000,5000,1203,0
MutexBased,4096,5000,5000,776,1
MutexBased,4096,5000,5000,1476,0
MutexBased,8192,5000,5000,849,1
MutexBased,8192,5000,5000,543,0
MutexBased,256,10000,10000,2215,1
MutexBased,256,10000,7266,1542,0
